Date,Ticker,Shares,Cost Basis,Stop Loss,Current Price,Total Value,PnL,Action,Cash Balance,Total Equity,Buy Price
2025-09-19,TOTAL,,,,,0.0,0.0,,1000.0,1000.0,
2025-09-22,MITQ,20.0,26.200000000000003,1.13,1.33,26.6,0.4,HOLD,,,1.31
2025-09-22,RELL,4.0,39.8,8.46,10.35,41.4,1.6,HOLD,,,9.95
2025-09-22,TOTAL,,,,,68.0,2.0,,934.0,1002.0,
2025-09-23,MITQ,20.0,26.200000000000003,1.13,1.52,30.4,4.2,HOLD,,,1.31
2025-09-23,RELL,4.0,39.8,8.46,10.41,41.64,1.84,HOLD,,,9.95
2025-09-23,TOTAL,,,,,72.04,6.04,,934.0,1006.04,
2025-09-24,MITQ,20.0,26.200000000000003,1.13,1.38,27.6,1.4,HOLD,,,1.31
2025-09-24,RELL,4.0,39.8,8.46,10.0,40.0,0.2,HOLD,,,9.95
2025-09-24,TOTAL,,,,,67.6,1.6,,934.0,1001.6,
2025-09-25,MITQ,20.0,26.200000000000003,1.13,1.26,25.2,-1.0,HOLD,,,1.31
2025-09-25,RELL,4.0,39.8,8.46,9.82,39.28,-0.52,HOLD,,,9.95
2025-09-25,TOTAL,,,,,64.48,-1.52,,934.0,998.48,
2025-09-26,RELL,4,39.8,8.46,9.94,39.76,-0.04,HOLD,,,9.95
2025-09-26,TOTAL,,,,,39.76,-0.04,,958.4,998.16,
